date,sku,strategy,opening_stock,received,expired_units,available_stock,demand,served,stockout_units,stockout_day,closing_stock,on_order,inventory_value,mean_age_days,recommended_order,is_review_day,holding_cost,waste_cost,stockout_cost,ordering_cost,total_cost
2025-07-01,Bacon,AI forecast + inventory policy,139.42857142857142,0.0,0.0,139.42857142857142,60.0,60.0,0.0,0,79.42857142857142,0.0,87.37142857142857,1.0,0.0,0,0.05984344422700586,0.0,0.0,0.0,0.05984344422700586
2025-07-01,Burger Buns,AI forecast + inventory policy,354.5,0.0,0.0,354.5,153.0,153.0,0.0,0,201.5,0.0,36.269999999999996,1.0,0.0,0,0.024842465753424657,0.0,0.0,0.0,0.024842465753424657
2025-07-01,Butter,AI forecast + inventory policy,101.07142857142857,0.0,0.0,101.07142857142857,57.0,57.0,0.0,0,44.07142857142857,0.0,41.86785714285714,1.0,0.0,0,0.028676614481409,0.0,0.0,0.0,0.028676614481409
2025-07-01,Cheese Slices,AI forecast + inventory policy,244.35714285714286,0.0,0.0,244.35714285714286,95.0,95.0,0.0,0,149.35714285714286,0.0,32.85857142857143,1.0,0.0,0,0.022505870841487283,0.0,0.0,0.0,0.022505870841487283
2025-07-01,Chicken Breast,AI forecast + inventory policy,290.64285714285717,0.0,0.0,290.64285714285717,109.0,109.0,0.0,0,181.64285714285717,0.0,326.9571428571429,1.0,0.0,0,0.22394324853228964,0.0,0.0,0.0,0.22394324853228964
2025-07-01,Coffee Beans,AI forecast + inventory policy,99.35714285714286,0.0,0.0,99.35714285714286,46.0,46.0,0.0,0,53.35714285714286,0.0,112.05000000000001,1.0,0.0,0,0.07674657534246576,0.0,0.0,0.0,0.07674657534246576
2025-07-01,Cooking Oil,AI forecast + inventory policy,79.42857142857143,0.0,0.0,79.42857142857143,23.0,23.0,0.0,0,56.42857142857143,0.0,90.28571428571429,1.0,0.0,0,0.061839530332681025,0.0,0.0,0.0,0.061839530332681025
2025-07-01,Eggs,AI forecast + inventory policy,185.07142857142858,0.0,0.0,185.07142857142858,58.0,58.0,0.0,0,127.07142857142858,0.0,20.331428571428575,1.0,0.0,0,0.01392563600782779,0.0,0.0,0.0,0.01392563600782779
2025-07-01,Fries (Potatoes),AI forecast + inventory policy,418.2142857142857,0.0,0.0,418.2142857142857,174.0,174.0,0.0,0,244.21428571428572,0.0,73.26428571428572,1.0,0.0,0,0.05018101761252446,0.0,0.0,0.0,0.05018101761252446
2025-07-01,Gluten-free Buns,AI forecast + inventory policy,21.071428571428573,0.0,0.0,21.071428571428573,13.0,13.0,0.0,0,8.071428571428573,0.0,4.439285714285716,1.0,0.0,0,0.003040606653620353,0.0,0.0,0.0,0.003040606653620353
